datadate,tic,conm,ajexdi,prccd
20090102,AXP,AMERICAN EXPRESS CO,1,19.33
20090105,AXP,AMERICAN EXPRESS CO,1,19.95
20090106,AXP,AMERICAN EXPRESS CO,1,21.07
20090107,AXP,AMERICAN EXPRESS CO,1,20.01
20090108,AXP,AMERICAN EXPRESS CO,1,20.04
20090109,AXP,AMERICAN EXPRESS CO,1,19.23
20090112,AXP,AMERICAN EXPRESS CO,1,18.83
20090113,AXP,AMERICAN EXPRESS CO,1,18.99
20090114,AXP,AMERICAN EXPRESS CO,1,17.83
20090115,AXP,AMERICAN EXPRESS CO,1,17.32
20090116,AXP,AMERICAN EXPRESS CO,1,17.01
20090120,AXP,AMERICAN EXPRESS CO,1,15.6
20090121,AXP,AMERICAN EXPRESS CO,1,16.87
20090122,AXP,AMERICAN EXPRESS CO,1,16.06
20090123,AXP,AMERICAN EXPRESS CO,1,16
20090126,AXP,AMERICAN EXPRESS CO,1,15.2
20090127,AXP,AMERICAN EXPRESS CO,1,16.68
20090128,AXP,AMERICAN EXPRESS CO,1,17.85
20090129,AXP,AMERICAN EXPRESS CO,1,16.71
20090130,AXP,AMERICAN EXPRESS CO,1,16.73
20090202,AXP,AMERICAN EXPRESS CO,1,16.98
20090203,AXP,AMERICAN EXPRESS CO,1,16.09
20090204,AXP,AMERICAN EXPRESS CO,1,16.36
20090205,AXP,AMERICAN EXPRESS CO,1,17.03
20090206,AXP,AMERICAN EXPRESS CO,1,17.93
20090209,AXP,AMERICAN EXPRESS CO,1,17.75
20090210,AXP,AMERICAN EXPRESS CO,1,15.97
20090211,AXP,AMERICAN EXPRESS CO,1,16.36
20090212,AXP,AMERICAN EXPRESS CO,1,16.19
20090213,AXP,AMERICAN EXPRESS CO,1,15.74
20090217,AXP,AMERICAN EXPRESS CO,1,13.96
20090218,AXP,AMERICAN EXPRESS CO,1,14.1
20090219,AXP,AMERICAN EXPRESS CO,1,12.87
20090220,AXP,AMERICAN EXPRESS CO,1,12.97
20090223,AXP,AMERICAN EXPRESS CO,1,12.15
20090224,AXP,AMERICAN EXPRESS CO,1,13.62
20090225,AXP,AMERICAN EXPRESS CO,1,13.07
20090226,AXP,AMERICAN EXPRESS CO,1,12.57
20090227,AXP,AMERICAN EXPRESS CO,1,12.06
20090302,AXP,AMERICAN EXPRESS CO,1,11.06
20090303,AXP,AMERICAN EXPRESS CO,1,11.82
20090304,AXP,AMERICAN EXPRESS CO,1,11.71
20090305,AXP,AMERICAN EXPRESS CO,1,10.33
20090306,AXP,AMERICAN EXPRESS CO,1,10.26
20090309,AXP,AMERICAN EXPRESS CO,1,10.64
20090310,AXP,AMERICAN EXPRESS CO,1,12.17
20090311,AXP,AMERICAN EXPRESS CO,1,11.93
20090312,AXP,AMERICAN EXPRESS CO,1,13.15
20090313,AXP,AMERICAN EXPRESS CO,1,13.09
20090316,AXP,AMERICAN EXPRESS CO,1,12.66
20090317,AXP,AMERICAN EXPRESS CO,1,12.92
20090318,AXP,AMERICAN EXPRESS CO,1,14.09
20090319,AXP,AMERICAN EXPRESS CO,1,13.07
20090320,AXP,AMERICAN EXPRESS CO,1,12.26
20090323,AXP,AMERICAN EXPRESS CO,1,14.56
20090324,AXP,AMERICAN EXPRESS CO,1,13.9
20090325,AXP,AMERICAN EXPRESS CO,1,14.11
20090326,AXP,AMERICAN EXPRESS CO,1,15.13
20090327,AXP,AMERICAN EXPRESS CO,1,14.45
20090330,AXP,AMERICAN EXPRESS CO,1,12.81
20090331,AXP,AMERICAN EXPRESS CO,1,13.63
20090401,AXP,AMERICAN EXPRESS CO,1,14.44
20090402,AXP,AMERICAN EXPRESS CO,1,14.98
20090403,AXP,AMERICAN EXPRESS CO,1,15.33
20090406,AXP,AMERICAN EXPRESS CO,1,15.16
20090407,AXP,AMERICAN EXPRESS CO,1,15.01
20090408,AXP,AMERICAN EXPRESS CO,1,15.72
20090409,AXP,AMERICAN EXPRESS CO,1,18.83
20090413,AXP,AMERICAN EXPRESS CO,1,20.46
20090414,AXP,AMERICAN EXPRESS CO,1,18.43
20090415,AXP,AMERICAN EXPRESS CO,1,20.62
20090416,AXP,AMERICAN EXPRESS CO,1,20.69
20090417,AXP,AMERICAN EXPRESS CO,1,21.81
20090420,AXP,AMERICAN EXPRESS CO,1,18.98
20090421,AXP,AMERICAN EXPRESS CO,1,19.57
20090422,AXP,AMERICAN EXPRESS CO,1,19.43
20090423,AXP,AMERICAN EXPRESS CO,1,20.97
20090424,AXP,AMERICAN EXPRESS CO,1,25.3
20090427,AXP,AMERICAN EXPRESS CO,1,24.23
20090428,AXP,AMERICAN EXPRESS CO,1,24.15
20090429,AXP,AMERICAN EXPRESS CO,1,24.95
20090430,AXP,AMERICAN EXPRESS CO,1,25.22
